,shape_id,shape_pt_sequence,elevation
2534,60-1-d12-1.1.O,9,54
2535,60-1-d12-1.1.O,10,54
2536,60-1-d12-1.1.O,11,54
2537,60-1-d12-1.1.O,12,53
2538,60-1-d12-1.1.O,13,53
2539,60-1-d12-1.1.O,14,53
2540,60-1-d12-1.1.O,15,53
2541,60-1-d12-1.1.O,16,51
2542,60-1-d12-1.1.O,17,51
2543,60-1-d12-1.1.O,18,51
2544,60-1-d12-1.1.O,19,51
2545,60-1-d12-1.1.O,20,52
2546,60-1-d12-1.1.O,21,52
2547,60-1-d12-1.1.O,22,52
2548,60-1-d12-1.1.O,23,52
2549,60-1-d12-1.1.O,24,52
2550,60-1-d12-1.1.O,25,52
2551,60-1-d12-1.1.O,26,52
2552,60-1-d12-1.1.O,27,52
2553,60-1-d12-1.1.O,28,46
2554,60-1-d12-1.1.O,29,46
2555,60-1-d12-1.1.O,30,46
2556,60-1-d12-1.1.O,31,46
2557,60-1-d12-1.1.O,32,46
2558,60-1-d12-1.1.O,33,46
2559,60-1-d12-1.1.O,34,46
2560,60-1-d12-1.1.O,35,46
2561,60-1-d12-1.1.O,36,45
2562,60-1-d12-1.1.O,37,46
2563,60-1-d12-1.1.O,38,46
2564,60-1-d12-1.1.O,39,46
2565,60-1-d12-1.1.O,40,46
2566,60-1-d12-1.1.O,41,46
2567,60-1-d12-1.1.O,42,46
2568,60-1-d12-1.1.O,43,46
2569,60-1-d12-1.1.O,44,46
2570,60-1-d12-1.1.O,45,46
2571,60-1-d12-1.1.O,46,44
2572,60-1-d12-1.1.O,47,44
2573,60-1-d12-1.1.O,48,44
2574,60-1-d12-1.1.O,49,42
2575,60-1-d12-1.1.O,50,42
2576,60-1-d12-1.1.O,51,42
2577,60-1-d12-1.1.O,52,33
2578,60-1-d12-1.1.O,53,33
2579,60-1-d12-1.1.O,54,33
2580,60-1-d12-1.1.O,55,28
2581,60-1-d12-1.1.O,56,28
2582,60-1-d12-1.1.O,57,29
2583,60-1-d12-1.1.O,58,29
2584,60-1-d12-1.1.O,59,29
2585,60-1-d12-1.1.O,60,29
2586,60-1-d12-1.1.O,61,22
2587,60-1-d12-1.1.O,62,22
2588,60-1-d12-1.1.O,63,22
2589,60-1-d12-1.1.O,64,19
2590,60-1-d12-1.1.O,65,19
2591,60-1-d12-1.1.O,66,11
2592,60-1-d12-1.1.O,67,11
2593,60-1-d12-1.1.O,68,11
2594,60-1-d12-1.1.O,69,7
2595,60-1-d12-1.1.O,70,7
2596,60-1-d12-1.1.O,71,7
2597,60-1-d12-1.1.O,72,7
2598,60-1-d12-1.1.O,73,20
2599,60-1-d12-1.1.O,74,20
2600,60-1-d12-1.1.O,75,20
2601,60-1-d12-1.1.O,76,19
2602,60-1-d12-1.1.O,77,15
2603,60-1-d12-1.1.O,78,15
2604,60-1-d12-1.1.O,79,17
2605,60-1-d12-1.1.O,80,17
2606,60-1-d12-1.1.O,81,11
2607,60-1-d12-1.1.O,82,11
2608,60-1-d12-1.1.O,83,11
2609,60-1-d12-1.1.O,84,11
2610,60-1-d12-1.1.O,85,15
2611,60-1-d12-1.1.O,86,15
2612,60-1-d12-1.1.O,87,15
2613,60-1-d12-1.1.O,88,15
2614,60-1-d12-1.1.O,89,19
2615,60-1-d12-1.1.O,90,19
2616,60-1-d12-1.1.O,91,19
2617,60-1-d12-1.1.O,92,19
2618,60-1-d12-1.1.O,93,19
2619,60-1-d12-1.1.O,94,21
2620,60-1-d12-1.1.O,95,21
2621,60-1-d12-1.1.O,96,18
2622,60-1-d12-1.1.O,97,18
2623,60-1-d12-1.1.O,98,18
2624,60-1-d12-1.1.O,99,18
2625,60-1-d12-1.1.O,100,18
2626,60-1-d12-1.1.O,101,21
2627,60-1-d12-1.1.O,102,21
2628,60-1-d12-1.1.O,103,10
2629,60-1-d12-1.1.O,104,13
2630,60-1-d12-1.1.O,105,13
2631,60-1-d12-1.1.O,106,13
2632,60-1-d12-1.1.O,107,13
2633,60-1-d12-1.1.O,108,13
2634,60-1-d12-1.1.O,109,13
2635,60-1-d12-1.1.O,110,8
2636,60-1-d12-1.1.O,111,8
2637,60-1-d12-1.1.O,112,8
2638,60-1-d12-1.1.O,113,11
2639,60-1-d12-1.1.O,114,11
2640,60-1-d12-1.1.O,115,11
2641,60-1-d12-1.1.O,116,10
2642,60-1-d12-1.1.O,117,10
2643,60-1-d12-1.1.O,118,8
2644,60-1-d12-1.1.O,119,10
2645,60-1-d12-1.1.O,120,5
2646,60-1-d12-1.1.O,121,5
2647,60-1-d12-1.1.O,122,5
2648,60-1-d12-1.1.O,123,5
2649,60-1-d12-1.1.O,124,5
2650,60-1-d12-1.1.O,125,5
2651,60-1-d12-1.1.O,126,5
2652,60-1-d12-1.1.O,127,5
2653,60-1-d12-1.1.O,128,7
2654,60-1-d12-1.1.O,129,6
2655,60-1-d12-1.1.O,130,6
2656,60-1-d12-1.1.O,131,6
2657,60-1-d12-1.1.O,132,4
2658,60-1-d12-1.1.O,133,4
2659,60-1-d12-1.1.O,134,7
2660,60-1-d12-1.1.O,135,7
2661,60-1-d12-1.1.O,136,7
2662,60-1-d12-1.1.O,137,6
2663,60-1-d12-1.1.O,138,13
2664,60-1-d12-1.1.O,139,13
2665,60-1-d12-1.1.O,140,4
2666,60-1-d12-1.1.O,141,4
2667,60-1-d12-1.1.O,142,5
2668,60-1-d12-1.1.O,143,4
2669,60-1-d12-1.1.O,144,5
2670,60-1-d12-1.1.O,145,5
2671,60-1-d12-1.1.O,146,5
2672,60-1-d12-1.1.O,147,5
2673,60-1-d12-1.1.O,148,5
2674,60-1-d12-1.1.O,149,4
2675,60-1-d12-1.1.O,150,4
2676,60-1-d12-1.1.O,151,2
2677,60-1-d12-1.1.O,152,2
2678,60-1-d12-1.1.O,153,2
2679,60-1-d12-1.1.O,154,3
2680,60-1-d12-1.1.O,155,3
2681,60-1-d12-1.1.O,156,3
2682,60-1-d12-1.1.O,157,3
2683,60-1-d12-1.1.O,158,5
2684,60-1-d12-1.1.O,159,5
2685,60-1-d12-1.1.O,160,5
2686,60-1-d12-1.1.O,161,3
2687,60-1-d12-1.1.O,162,3
2688,60-1-d12-1.1.O,163,3
2689,60-1-d12-1.1.O,164,3
2690,60-1-d12-1.1.O,165,3
2691,60-1-d12-1.1.O,166,3
2692,60-1-d12-1.1.O,167,3
